list name,label::English,name
gender,Female,female
gender,Male,male
gender,Other,other
water_source,Public tap/standpipe,publicTap_standpip
water_source,Handpumps/boreholes,handpumps_borehole
water_source,Protected well,protectedWell
water_source,Unprotected well,unprotectedWell
water_source,Water seller/kiosks,waterSeller_kiosks
water_source,Piped connection to house (or neighbor's house),ipedConnectionToHouseOrNeighbors
water_source,Protected spring,protectedSpring
water_source,Unprotected spring,unprotectedSpring
water_source,Rain water collection,rainWaterCollection
water_source,Bottled water,bottledWater
water_source,water sachets,waterSachets
water_source,Tanker trucks,tankerTrucks
water_source,"Surface water (lake, dam, river, etc.)",surfaceWater
water_source,Other (please specify),other
water_source,Don’t know,dkn
yes_no_dkn,Yes,yes
yes_no_dkn,No,no
yes_no_dkn,Don’t know,dkn
type_water_container,Protected,protected
type_water_container,Unprotected,unprotected
time_water_source,Water on premises,on_premises
time_water_source,Less than 5 min to fetch and return,less_5min
time_water_source,Between 5 and 15 min,between_5_and_15min
time_water_source,Between 16 and 30 min,between_16_and_30min
time_water_source,More than 31min,more_30min
time_water_source,Don’t know,dkn
prob_water,Waterpoints are too far,too_far
prob_water,Waterpoints are difficult to reach (especially for people with disabilities),too_difficult_reach
prob_water,Fetching water is a dangerous activity,dangerous
prob_water,"Some groups (children, women, elderly, ethnic minorities, etc.) do not have access to the   waterpoints",some_grps_no_access
prob_water,Insufficient number of water points / waiting time at water points;,insufficient_nb_water_points
prob_water,Water points are not functioning or close,not_functionning
prob_water,Water is not available at the market,not_available_in_market
prob_water,Water is too expensive,too_expensive
prob_water,Not enough container to store the water ,not_enough_container_store
prob_water,Don’t like taste / quality of water,bad_quality_water
prob_water,Other (please list),other
prob_water,Don’t know,dkn
coping_strat_water,Rely on less preferred (unimproved/untreated) water sources for drinking water;,rely_less_pref_source_drk
coping_strat_water,Rely on surface water for drinking water; ,rely_surface_water_drk
coping_strat_water,Rely on less preferred (unimproved/untreated) water sources for other purposes such as cooking and washing;,rely_less_pref_source_other
coping_strat_water,Rely on surface water for other purposes such as cooking and washing;,rely_surface_water_other
coping_strat_water,Fetch water at a source further than the usual one;,fetch_further
coping_strat_water,Send children to fetch water;,fetch_children
coping_strat_water,Fetch water at a source that could be dangerous; ,fetch_dangerous_source
