interview_method,sector,Theme,Priority,macro_indicator_name,macro_indicator_label,sub_indicator_name,sub_indicator_label,name,label::English,hint::English,qtype,choices_list,type,relevant,calculation,constraint,constraint_message::English,repeat_count,required
ki,demo,Information on survey,NA,NA,NA,NA,NA,ki_info_survey_beg,Information on survey,,begin_group,,begin_group,,,,,,TRUE
ki,demo,Information on survey,NA,NA,NA,NA,NA,ki_gender_interviewer,What is the gender of the person conducting the interview?,,select_one,gender,select_one gender,,,,,,TRUE
ki,demo,Information on survey,NA,NA,NA,NA,NA,ki_gender_interviewee,What is the gender of the person answering the interview?,,select_one,gender,select_one gender,,,,,,TRUE
ki,demo,Information on survey,NA,NA,NA,NA,NA,ki_info_survey_end,Information on survey,,end_group,,end_group,,,,,,TRUE
ki,WASH,Water,1,access_improved_water_source,Percentage of KIs reporting that communities have access to an improved water source,ki_primary_water_source,Percentage of KIs by type of primary source of drinking water used in the communities,ki_primary_water_source,What is the main source of water used by people in the community for drinking?,,select_one,water_source_ki,select_one water_source_ki,,,,,,TRUE
ki,WASH,Water,1,access_improved_water_source,Percentage of KIs reporting that communities have access to an improved water source,ki_primary_water_source,Percentage of KIs by type of primary source of drinking water used in the communities,ki_primary_water_source_other,"Other, please specify",,text,,text,${ki_primary_water_source} = 'other',,,,,TRUE
ki,WASH,Water,2,access_improved_water_source,Percentage of KIs reporting that communities have access to an improved water source,ki_secondary_water_source,Percentage of KIs by type of secondary sources of drinking water used in the communities,ki_secondary_water_source,"Aside from this main source, do people in the community use other sources of water for drinking?",,select_one,yes_no_dkn,select_one yes_no_dkn,,,,,,TRUE
ki,WASH,Water,2,access_improved_water_source,Percentage of KIs reporting that communities have access to an improved water source,ki_secondary_water_source,Percentage of KIs by type of secondary sources of drinking water used in the communities,ki_secondary_water_source_type,What are the other water sources used by people in the community for drinking?,,select_multiple,water_source_ki,select_multiple water_source_ki,,,"not(selected(., 'dkn') and count-selected(.)>1)",Not possible to select 'Don’t know' and another choice,,TRUE
ki,WASH,Water,2,access_improved_water_source,Percentage of KIs reporting that communities have access to an improved water source,ki_secondary_water_source,Percentage of KIs by type of secondary sources of drinking water used in the communities,ki_secondary_water_source_type_other,"Other, please specify",,text,,text,"selected(${ki_secondary_water_source_type}, 'other')",,,,,TRUE
